word,freq,dic
afternoon,,ZhaoCCFR-1
ask,,ZhaoCCFR-1
banana,,ZhaoCCFR-1
beautiful,,ZhaoCCFR-1
bird,,ZhaoCCFR-1
birthday,,ZhaoCCFR-1
book,,ZhaoCCFR-1
boy,,ZhaoCCFR-1
bread,,ZhaoCCFR-1
bye,,ZhaoCCFR-1
car,,ZhaoCCFR-1
cat,,ZhaoCCFR-1
child,,ZhaoCCFR-1
city,,ZhaoCCFR-1
class,,ZhaoCCFR-1
clever,,ZhaoCCFR-1
clock,,ZhaoCCFR-1
clothes,,ZhaoCCFR-1
computer,,ZhaoCCFR-1
cow,,ZhaoCCFR-1
dad,,ZhaoCCFR-1
dance,,ZhaoCCFR-1
desk,,ZhaoCCFR-1
dog,,ZhaoCCFR-1
door,,ZhaoCCFR-1
draw,,ZhaoCCFR-1
dress,,ZhaoCCFR-1
driver,,ZhaoCCFR-1
egg,,ZhaoCCFR-1
evening,,ZhaoCCFR-1
family,,ZhaoCCFR-1
film,,ZhaoCCFR-1
fish,,ZhaoCCFR-1
floor,,ZhaoCCFR-1
flower,,ZhaoCCFR-1
food,,ZhaoCCFR-1
fruit,,ZhaoCCFR-1
girl,,ZhaoCCFR-1
goodbye,,ZhaoCCFR-1
have,,ZhaoCCFR-1
he,,ZhaoCCFR-1
hello,,ZhaoCCFR-1
her,,ZhaoCCFR-1
hi,,ZhaoCCFR-1
him,,ZhaoCCFR-1
home,,ZhaoCCFR-1
horse,,ZhaoCCFR-1
hospital,,ZhaoCCFR-1
house,,ZhaoCCFR-1
hungry,,ZhaoCCFR-1
I,,ZhaoCCFR-1
its,,ZhaoCCFR-1
lesson,,ZhaoCCFR-1
library,,ZhaoCCFR-1
live,,ZhaoCCFR-1
man,,ZhaoCCFR-1
many,,ZhaoCCFR-1
milk,,ZhaoCCFR-1
month,,ZhaoCCFR-1
mum,,ZhaoCCFR-1
my,,ZhaoCCFR-1
name,,ZhaoCCFR-1
nice,,ZhaoCCFR-1
often,,ZhaoCCFR-1
our,,ZhaoCCFR-1
parent,,ZhaoCCFR-1
pen,,ZhaoCCFR-1
pencil,,ZhaoCCFR-1
photo,,ZhaoCCFR-1
picture,,ZhaoCCFR-1
pig,,ZhaoCCFR-1
plane,,ZhaoCCFR-1
play,,ZhaoCCFR-1
potato,,ZhaoCCFR-1
read,,ZhaoCCFR-1
rice,,ZhaoCCFR-1
river,,ZhaoCCFR-1
room,,ZhaoCCFR-1
ruler,,ZhaoCCFR-1
run,,ZhaoCCFR-1
sad,,ZhaoCCFR-1
science,,ZhaoCCFR-1
she,,ZhaoCCFR-1
ship,,ZhaoCCFR-1
shirt,,ZhaoCCFR-1
shop,,ZhaoCCFR-1
sister,,ZhaoCCFR-1
skirt,,ZhaoCCFR-1
slow,,ZhaoCCFR-1
sometimes,,ZhaoCCFR-1
soup,,ZhaoCCFR-1
sport,,ZhaoCCFR-1
street,,ZhaoCCFR-1
subject,,ZhaoCCFR-1
summer,,ZhaoCCFR-1
supermarket,,ZhaoCCFR-1
taxi,,ZhaoCCFR-1
their,,ZhaoCCFR-1
these,,ZhaoCCFR-1
they,,ZhaoCCFR-1
tiger,,ZhaoCCFR-1
tired,,ZhaoCCFR-1
today,,ZhaoCCFR-1
toilet,,ZhaoCCFR-1
tomorrow,,ZhaoCCFR-1
too,,ZhaoCCFR-1
toy,,ZhaoCCFR-1
train,,ZhaoCCFR-1
tree,,ZhaoCCFR-1
trousers,,ZhaoCCFR-1
us,,ZhaoCCFR-1
vegetable,,ZhaoCCFR-1
very,,ZhaoCCFR-1
we,,ZhaoCCFR-1
wear,,ZhaoCCFR-1
week,,ZhaoCCFR-1
woman,,ZhaoCCFR-1
young,,ZhaoCCFR-1
your,,ZhaoCCFR-1
